epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.1885,1.15983,3.03531,1.91907,0.77375,0.19033,0.1877,0.11794,1.9051,3.51867,2.24826,0.0702206,0.00330882,0.00330882
2,52.2693,1.02504,2.43873,1.79932,0.84073,0.2,0.21548,0.11815,2.1278,4.00499,2.68738,0.040111,0.00653256,0.00653256
3,72.9932,1.1451,2.72789,1.94799,0.88889,0.13333,0.21681,0.13971,2.33281,6.98287,3.00261,0.0098914,0.0096463,0.0096463
4,93.6755,1.22633,2.68821,2.07444,0.03654,0.3993,0.03538,0.01826,2.30703,5.97202,2.76222,0.009505,0.009505,0.009505
5,114.37,1.17548,2.5906,2.04937,0.76523,0.26667,0.22882,0.19636,2.41419,3.32676,2.88597,0.00934,0.00934,0.00934
6,135.057,1.13841,2.36674,1.98799,0.68083,0.13333,0.0344,0.021,2.47731,4.12788,3.13338,0.009175,0.009175,0.009175
7,155.489,1.20637,2.2106,2.03617,0.47345,0.4539,0.23535,0.13713,2.67361,3.48538,3.53908,0.00901,0.00901,0.00901
8,175.955,1.0894,2.02473,1.94301,0.42655,0.40142,0.17328,0.12395,2.62791,3.36381,3.37446,0.008845,0.008845,0.008845
9,196.219,1.14224,2.02476,1.97144,0.44674,0.35177,0.11164,0.04719,2.56432,3.06981,3.4521,0.00868,0.00868,0.00868
10,216.394,1.22869,1.83311,2.05898,0.74989,0.22294,0.23024,0.15132,2.34978,3.75026,3.2794,0.008515,0.008515,0.008515
11,236.63,1.11979,1.78398,1.95354,0.28063,0.46156,0.15387,0.07751,2.65431,3.71893,3.59687,0.00835,0.00835,0.00835
12,257.12,1.11246,1.83405,1.95577,0.13165,0.44608,0.11786,0.06227,2.73863,3.30241,3.52724,0.008185,0.008185,0.008185
13,277.657,1.09423,1.92148,1.88504,0.2062,0.59299,0.29406,0.14808,2.36757,2.65438,3.07175,0.00802,0.00802,0.00802
14,298.497,1.121,1.86988,1.96019,0.14662,0.45746,0.17841,0.10532,1.9602,2.49344,2.42474,0.007855,0.007855,0.007855
15,319.456,1.09547,1.9537,1.90552,0.56894,0.40313,0.39448,0.28646,2.24022,2.64913,2.67309,0.00769,0.00769,0.00769
16,340.555,1.00318,1.73907,1.84206,0.75125,0.34113,0.32954,0.22442,2.33574,2.92739,2.74271,0.007525,0.007525,0.007525
17,362.166,1.00997,1.78943,1.82407,0.70232,0.3659,0.35797,0.2352,2.06986,2.47777,2.37476,0.00736,0.00736,0.00736
18,383.026,0.97235,1.68444,1.80508,1,0.25016,0.43317,0.32201,2.08304,2.59504,2.45617,0.007195,0.007195,0.007195
19,403.733,0.95327,1.59017,1.78284,0.61461,0.39078,0.38347,0.27534,2.13368,2.5462,2.55836,0.00703,0.00703,0.00703
20,424.277,0.9047,1.56771,1.74373,0.6087,0.31348,0.25805,0.14956,2.03287,2.4356,2.37311,0.006865,0.006865,0.006865
21,444.566,0.91036,1.5611,1.70886,0.20311,0.605,0.38968,0.26689,2.01217,2.55034,2.35323,0.0067,0.0067,0.0067
22,464.725,0.88893,1.51287,1.70892,0.78378,0.20445,0.44298,0.32355,2.02066,2.36686,2.36546,0.006535,0.006535,0.006535
23,485.12,0.91088,1.39817,1.73138,0.21797,0.48172,0.36787,0.25592,2.24833,2.5648,2.65403,0.00637,0.00637,0.00637
24,505.663,0.88647,1.33209,1.69287,0.25701,0.61083,0.40182,0.24822,2.07538,2.38181,2.3846,0.006205,0.006205,0.006205
25,526.654,0.87528,1.24531,1.69772,0.25074,0.5492,0.41277,0.26461,1.96019,2.33355,2.31009,0.00604,0.00604,0.00604
26,547.585,0.85552,1.16096,1.67525,0.24164,0.50116,0.38878,0.26877,2.1694,2.50658,2.48694,0.005875,0.005875,0.005875
27,568.453,0.88619,1.2204,1.69702,0.23498,0.54394,0.2607,0.15361,2.04453,2.62615,2.36821,0.00571,0.00571,0.00571
28,589.403,0.84955,1.14727,1.64301,0.30135,0.59905,0.4705,0.27742,1.79383,2.25212,2.07925,0.005545,0.005545,0.005545
29,610.458,0.82827,1.08221,1.62002,0.35145,0.62288,0.49575,0.34417,1.99301,2.21557,2.22962,0.00538,0.00538,0.00538
30,631.02,0.81285,1.07133,1.61978,0.4356,0.70478,0.61282,0.39195,1.77439,1.83576,2.07749,0.005215,0.005215,0.005215
31,651.872,0.81769,1.01606,1.6009,0.32097,0.63027,0.41286,0.27592,1.96594,2.43813,2.22586,0.00505,0.00505,0.00505
32,672.76,0.80643,1.03154,1.58228,0.35079,0.60573,0.54231,0.35326,1.79362,2.27098,2.07708,0.004885,0.004885,0.004885
33,693.444,0.77879,0.9704,1.54767,0.37948,0.61596,0.59483,0.38638,1.9609,2.14146,2.23429,0.00472,0.00472,0.00472
34,714.738,0.75418,0.95229,1.53262,0.34854,0.63812,0.51536,0.37529,1.95018,2.22019,2.17243,0.004555,0.004555,0.004555
35,735.747,0.75889,0.93441,1.53609,0.47074,0.59784,0.60177,0.41288,1.82993,2.11996,2.08568,0.00439,0.00439,0.00439
36,756.764,0.75559,0.92188,1.52325,0.44707,0.66363,0.5847,0.39773,1.76871,2.1048,2.0591,0.004225,0.004225,0.004225
37,777.653,0.74983,0.88818,1.5109,0.35365,0.50426,0.53468,0.39425,1.75,2.42057,2.03263,0.00406,0.00406,0.00406
38,798.48,0.75259,0.90507,1.50793,0.4773,0.6612,0.64728,0.4417,1.81878,1.98001,2.08757,0.003895,0.003895,0.003895
39,819.213,0.73652,0.84282,1.49528,0.40065,0.59377,0.56537,0.37387,1.84484,2.43835,2.1559,0.00373,0.00373,0.00373
40,840.023,0.72572,0.84157,1.49316,0.58704,0.63082,0.68278,0.407,1.98075,1.81047,2.23062,0.003565,0.003565,0.003565
41,860.741,0.71932,0.83387,1.47769,0.47072,0.60029,0.63972,0.44906,1.57364,2.13577,1.92521,0.0034,0.0034,0.0034
42,881.406,0.72681,0.7881,1.49193,0.40391,0.64277,0.61398,0.40548,1.89965,2.03356,2.14402,0.003235,0.003235,0.003235
43,902.16,0.70404,0.76634,1.46553,0.53803,0.5906,0.67577,0.44651,1.76776,1.93107,2.02016,0.00307,0.00307,0.00307
44,922.822,0.71561,0.74859,1.479,0.50002,0.63895,0.68491,0.45241,1.61855,1.97925,1.89961,0.002905,0.002905,0.002905
45,943.471,0.70657,0.75254,1.45953,0.43356,0.63513,0.6036,0.39411,1.82604,2.29131,2.07016,0.00274,0.00274,0.00274
