epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,363.378,1.40756,2.68514,1.88046,0.38045,0.638,0.34766,0.13434,1.80205,3.30044,2.16703,0.0702941,0.00330065,0.00330065
2,734.091,1.25873,1.91926,1.73765,0.54283,0.57547,0.60694,0.26693,1.76964,2.73459,2.10596,0.0402284,0.00656831,0.00656831
3,1115.87,1.28276,1.74177,1.74019,0.77964,0.60863,0.74645,0.38107,1.64515,2.76586,2.05664,0.0100968,0.00976997,0.00976997
4,1417.25,1.31117,1.70993,1.79507,0.48492,0.48682,0.50529,0.17586,2.35659,2.7892,3.01823,0.009703,0.009703,0.009703
5,1734.31,1.26769,1.63499,1.76601,0.52449,0.70544,0.73436,0.33075,1.97101,2.01343,2.46688,0.009604,0.009604,0.009604
6,2114.47,1.25966,1.56696,1.74838,0.36196,0.71017,0.47192,0.18185,1.91265,2.27393,2.34924,0.009505,0.009505,0.009505
7,2427.25,1.21679,1.47519,1.70693,0.75561,0.68248,0.80787,0.40103,1.8982,1.48494,2.17333,0.009406,0.009406,0.009406
8,2960.69,1.22205,1.46035,1.69967,0.83832,0.78622,0.83139,0.47165,1.53002,1.66656,1.94283,0.009307,0.009307,0.009307
9,3465.57,1.17143,1.35429,1.67243,0.45115,0.62189,0.45784,0.22536,1.95089,2.17075,2.38545,0.009208,0.009208,0.009208
10,3976.24,1.17928,1.37218,1.68255,0.69803,0.70573,0.77879,0.49102,1.56989,1.59563,1.88225,0.009109,0.009109,0.009109
11,4332.8,1.14966,1.3473,1.65607,0.8332,0.7238,0.84499,0.57114,1.57296,1.30604,1.926,0.00901,0.00901,0.00901
12,4833.05,1.15393,1.3192,1.64466,0.57335,0.65781,0.73428,0.49292,1.6459,1.62405,1.99336,0.008911,0.008911,0.008911
13,5367.98,1.10854,1.27147,1.62296,0.8654,0.81129,0.8697,0.56348,1.53839,1.20193,1.86908,0.008812,0.008812,0.008812
14,5786,1.09224,1.25427,1.60734,0.74243,0.72816,0.83413,0.51005,1.45202,1.1054,1.78934,0.008713,0.008713,0.008713
15,6192.69,1.08901,1.19149,1.59208,0.82777,0.76752,0.86028,0.49283,1.68739,1.28409,1.93033,0.008614,0.008614,0.008614
16,6502.59,1.09085,1.21387,1.60396,0.77157,0.8314,0.88352,0.60411,1.27266,1.18856,1.6633,0.008515,0.008515,0.008515
17,6874.51,1.08465,1.20872,1.59987,0.73086,0.7475,0.8184,0.53677,1.42948,1.26603,1.76893,0.008416,0.008416,0.008416
18,7253.78,1.07819,1.20805,1.58601,0.85957,0.62167,0.80805,0.50414,1.59633,1.26427,1.92342,0.008317,0.008317,0.008317
19,7642.12,1.07781,1.16673,1.58458,0.89896,0.83924,0.92432,0.67433,1.23379,0.98768,1.57635,0.008218,0.008218,0.008218
20,8026.5,1.03957,1.11412,1.55211,0.85126,0.86656,0.90805,0.68214,1.21383,0.94482,1.57514,0.008119,0.008119,0.008119
21,8415.27,1.06288,1.13482,1.56783,0.82161,0.85209,0.92788,0.66396,1.27468,0.92737,1.59312,0.00802,0.00802,0.00802
22,8809.63,1.03408,1.11919,1.55282,0.84446,0.89245,0.9313,0.68572,1.18269,0.98893,1.52466,0.007921,0.007921,0.007921
23,9195.53,1.02625,1.10729,1.5413,0.89903,0.86932,0.93977,0.67731,1.26074,0.89497,1.6154,0.007822,0.007822,0.007822
24,9584.28,0.9955,1.04844,1.51436,0.83848,0.79864,0.86405,0.61949,1.36533,1.2851,1.69787,0.007723,0.007723,0.007723
25,9973.07,1.00106,1.07711,1.52549,0.8627,0.82828,0.90238,0.67093,1.17319,0.98805,1.54491,0.007624,0.007624,0.007624
26,10360.2,0.99942,1.03304,1.51519,0.88601,0.85378,0.92867,0.64882,1.32445,0.95618,1.6358,0.007525,0.007525,0.007525
27,10755.2,1.00624,1.07586,1.52654,0.88297,0.85136,0.91144,0.65814,1.15346,0.9246,1.52084,0.007426,0.007426,0.007426
28,11146.1,0.98241,1.01746,1.50077,0.84337,0.86013,0.90314,0.60027,1.3418,1.05579,1.69297,0.007327,0.007327,0.007327
29,11529.4,0.9686,1.00282,1.49172,0.8251,0.86771,0.93664,0.69372,1.2066,0.86881,1.53238,0.007228,0.007228,0.007228
30,11919.1,0.97068,0.99774,1.4861,0.8573,0.88995,0.91907,0.66891,1.27873,0.94626,1.60693,0.007129,0.007129,0.007129
31,12303,0.95068,0.97442,1.47656,0.83956,0.90041,0.94132,0.68293,1.17649,0.81576,1.52979,0.00703,0.00703,0.00703
32,12697.2,0.97694,1.00834,1.4999,0.82635,0.89124,0.93803,0.70845,1.0723,0.85982,1.42435,0.006931,0.006931,0.006931
33,13087.1,0.93677,0.96002,1.4558,0.86594,0.83445,0.91959,0.7167,1.00683,0.86375,1.39921,0.006832,0.006832,0.006832
34,13473.7,0.94795,0.97441,1.4811,0.87635,0.90099,0.92944,0.7217,1.08577,0.82303,1.40402,0.006733,0.006733,0.006733
35,13865.4,0.95739,0.97731,1.48252,0.81828,0.90225,0.93399,0.72019,1.06016,0.82102,1.41114,0.006634,0.006634,0.006634
36,14248.4,0.95059,0.96546,1.47528,0.90429,0.89744,0.94254,0.70947,1.08746,0.8316,1.43759,0.006535,0.006535,0.006535
37,14561.3,0.91583,0.93398,1.45632,0.88419,0.88567,0.94121,0.7185,1.06361,0.84927,1.43434,0.006436,0.006436,0.006436
38,14872.3,0.93391,0.93591,1.46826,0.7928,0.87157,0.92036,0.68285,1.15345,0.86399,1.53516,0.006337,0.006337,0.006337
39,15175.7,0.9322,0.9614,1.46411,0.88818,0.8896,0.94021,0.71413,1.00576,0.77431,1.38068,0.006238,0.006238,0.006238
40,15475.9,0.93705,0.95804,1.46803,0.84921,0.89469,0.93227,0.69294,1.12824,0.91264,1.49136,0.006139,0.006139,0.006139
41,15778.5,0.90889,0.91954,1.44127,0.85979,0.86791,0.95813,0.75366,0.98149,0.74917,1.36289,0.00604,0.00604,0.00604
42,16097,0.90191,0.91471,1.43378,0.86204,0.8882,0.92782,0.70872,1.05506,0.8601,1.42538,0.005941,0.005941,0.005941
43,16571.1,0.90571,0.91144,1.4417,0.89389,0.89967,0.96352,0.7416,1.07266,0.78154,1.43299,0.005842,0.005842,0.005842
44,16965.1,0.90107,0.91019,1.42817,0.92027,0.84437,0.95243,0.72662,1.01545,0.76955,1.37153,0.005743,0.005743,0.005743
45,17319.7,0.8984,0.89815,1.43361,0.86973,0.85329,0.94058,0.75658,0.98137,0.79235,1.33228,0.005644,0.005644,0.005644
46,17632.4,0.90682,0.9091,1.43625,0.90961,0.86521,0.93304,0.74627,0.98867,0.82843,1.34479,0.005545,0.005545,0.005545
47,18010,0.88921,0.89493,1.42759,0.89435,0.8024,0.88415,0.6709,1.17928,0.97727,1.56246,0.005446,0.005446,0.005446
48,18581.4,0.86482,0.8556,1.39668,0.90535,0.82983,0.93808,0.72809,0.94851,0.75507,1.32451,0.005347,0.005347,0.005347
49,19056.2,0.88691,0.87191,1.42011,0.90915,0.90339,0.9505,0.75382,1.00736,0.73895,1.34826,0.005248,0.005248,0.005248
50,19455.1,0.88178,0.87413,1.42013,0.87013,0.90905,0.94985,0.72973,0.9484,0.68391,1.30983,0.005149,0.005149,0.005149
51,19999,0.86751,0.85784,1.40741,0.81466,0.83883,0.88318,0.64671,1.09536,0.95721,1.51093,0.00505,0.00505,0.00505
52,20393.8,0.86688,0.85724,1.40801,0.8586,0.86053,0.91845,0.74349,0.97626,0.81062,1.37618,0.004951,0.004951,0.004951
53,20746.4,0.85055,0.83881,1.39667,0.93545,0.88164,0.94559,0.74632,0.95696,0.73916,1.31339,0.004852,0.004852,0.004852
54,21193.7,0.84927,0.83357,1.39145,0.94531,0.83807,0.95355,0.75191,0.92917,0.71201,1.30093,0.004753,0.004753,0.004753
55,21532.9,0.85556,0.85365,1.40011,0.8692,0.88817,0.90868,0.72575,0.89545,0.76022,1.26644,0.004654,0.004654,0.004654
56,21946.5,0.83679,0.81255,1.3779,0.85822,0.90486,0.9506,0.78399,0.90847,0.73303,1.3054,0.004555,0.004555,0.004555
